"_time","sum(counts)","_span"
1613463000,6951173,600
1613463600,6370929,600
1613464200,6246967,600
1613464800,6127094,600
1613465400,6050072,600
1613466000,6010157,600
1613466600,5711535,600
1613467200,5530926,600
1613467800,5419420,600
1613468400,5293001,600
1613469000,5251423,600
1613469600,5272445,600
1613470200,4708357,600
1613470800,4362633,600
1613471400,4708469,600
1613472000,4975323,600
1613472600,4470244,600
1613473200,4737979,600
1613473800,4370176,600
1613474400,4250803,600
1613475000,4250962,600
1613475600,4126262,600
1613476200,4220534,600
1613476800,4338675,600
1613477400,4141796,600
1613478000,3973449,600
1613478600,3936968,600
1613479200,3985716,600
1613479800,3853627,600
1613480400,3888114,600
1613481000,3924209,600
1613481600,4662338,600
1613482200,3843919,600
1613482800,3883400,600
1613483400,4007712,600
1613484000,4000372,600
1613484600,4187135,600
1613485200,4596321,600
1613485800,4905799,600
1613486400,4587774,600
1613487000,7393985,600
1613487600,3907612,600
1613488200,3679823,600
1613488800,3619388,600
1613489400,3514379,600
1613490000,3543540,600
1613490600,3452967,600
1613491200,3596909,600
1613491800,3523697,600
1613492400,3266584,600
1613493000,3495334,600
1613493600,3540559,600
1613494200,3532348,600
1613494800,3589884,600
1613495400,4206583,600
1613496000,5419027,600
1613496600,3659116,600
1613497200,3610806,600
1613497800,3463984,600
1613498400,3392584,600
1613499000,3353748,600
1613499600,3268707,600
1613500200,3343021,600
1613500800,3427339,600
1613501400,3340770,600
1613502000,3432389,600
1613502600,3320294,600
1613503200,3541629,600
1613503800,3306744,600
1613504400,3411103,600
1613505000,3172505,600
1613505600,3065064,600
1613506200,3214881,600
1613506800,3110636,600
1613507400,3091500,600
1613508000,3239515,600
1613508600,3311535,600
1613509200,3195162,600
1613509800,3304003,600
1613510400,3424672,600
1613511000,3182759,600
1613511600,3233037,600
1613512200,3295102,600
1613512800,3343177,600
1613513400,3453381,600
1613514000,3556818,600
1613514600,3497656,600
1613515200,3870822,600
1613515800,3950590,600
1613516400,4163592,600
1613517000,4415684,600
1613517600,4767245,600
1613518200,5342032,600
1613518800,8060231,600
1613519400,6690237,600
1613520000,6017273,600
1613520600,6366114,600
1613521200,6207898,600
1613521800,5874725,600
1613522400,5924741,600
1613523000,6317827,600
1613523600,7221292,600
1613524200,6716437,600
1613524800,6577066,600
1613525400,6673481,600
1613526000,6720913,600
1613526600,6724660,600
1613527200,6813175,600
1613527800,6769679,600
1613528400,6914529,600
1613529000,7032911,600
1613529600,6342577,600
1613530200,7076788,600
1613530800,6916574,600
1613531400,7165907,600
1613532000,7520965,600
1613532600,7540252,600
1613533200,7575236,600
1613533800,7318852,600
1613534400,10003470,600
1613535000,7312553,600
1613535600,7472211,600
1613536200,6605439,600
1613536800,6534126,600
1613537400,6735529,600
1613538000,7070960,600
1613538600,7172938,600
1613539200,7160474,600
1613539800,7259172,600
1613540400,7168967,600
1613541000,7115297,600
1613541600,7509793,600
1613542200,7143890,600
1613542800,8866435,600
1613543400,6800109,600
1613544000,6788379,600
1613544600,6855386,600
1613545200,7081069,600
1613545800,7154987,600
1613546400,6991229,600
1613547000,7121404,600
1613547600,7726521,600
1613548200,9087353,600
1613548800,6881372,600
1613549400,6903998,600
1613550000,6586180,600
1613550600,6438382,600
1613551200,6333184,600
1613551800,5960740,600
1613552400,6187219,600
1613553000,6121855,600
1613553600,5933951,600
1613554200,6025071,600
1613554800,5886310,600
1613555400,5500736,600
1613556000,5269125,600
1613556600,4986779,600
1613557200,4831022,600
1613557800,4878230,600
1613558400,4782068,600
1613559000,4239374,600
1613559600,4644952,600
1613560200,4663970,600
1613560800,4574088,600
1613561400,4692486,600
1613562000,4543263,600
1613562600,4395450,600
1613563200,4433493,600
1613563800,4327482,600
1613564400,4403636,600
1613565000,4348102,600
1613565600,4140287,600
1613566200,4266638,600
1613566800,4351736,600
1613567400,4379475,600
1613568000,4506740,600
1613568600,4380313,600
1613569200,4339527,600
1613569800,4198372,600
1613570400,4417942,600
1613571000,4337758,600
1613571600,4296033,600
1613572200,4274249,600
1613572800,4144438,600
1613573400,6606360,600
1613574000,4100990,600
1613574600,4180294,600
1613575200,4945397,600
1613575800,4266351,600
1613576400,4479642,600
1613577000,3937616,600
